,Ingredient,Total_Quantity_needed(Grams)
0,?duja Salami,811.1601484909462
1,Alfredo Sauce,301.8615228355508
2,Anchovies,840.7233962236122
3,Artichokes,2496.166395514679
4,Arugula,289.20568434129905
5,Asiago Cheese,1406.9732951031403
6,Bacon,9925.143591640439
7,Barbecue Sauce,531.1497218056269
8,Barbecued Chicken,1543.221306392819
9,Beef Chuck Roast,2941.889207484107
10,Blue Cheese,835.8785830500316
11,Brie Carre Cheese,290.68879041484416
12,Calabrese Salami,4270.356754427592
13,Capocollo,15267.093921073501
14,Caramelized Onions,0.0
15,Chicken,19217.099763615344
16,Chipotle Sauce,1612.8284181112035
17,Chorizo Sausage,1892.4433498435776
18,Cilantro,806.4142090556018
19,Coarse Sicilian Salami,2956.720268219558
20,Corn,5406.4160067631565
21,Eggplant,730.4791780900914
22,Feta Cheese,2505.06503195595
23,Fontina Cheese,1425.1660629386272
24,Friggitello Peppers,202.79003712273655
25,Garlic,6165.667442680024
26,Genoa Salami,1937.5297744793493
27,Goat Cheese,3107.0083503387973
28,Gorgonzola Piccante Cheese,1272.7027585781887
29,Gouda Cheese,1021.9589584108264
30,Green Olives,1242.7440158925772
31,Green Peppers,1906.2856731966654
32,Italian Sausage,378.4886699687155
33,Jalapeno Peppers,1317.3936882610149
34,Kalamata Olives,762.4153955404298
35,Luganega Sausage,1478.360134109779
36,Mozzarella Cheese,4343.523320722485
37,Mushrooms,7360.556569266211
38,Onions,739.1800670548895
39,Oregano,326.8765786093452
40,Pancetta,1216.7402227364194
41,Parmigiano Reggiano Cheese,3037.4012386204126
42,Pears,96.89626347161472
43,Peperoncini verdi,449.8755089753541
44,Pepperoni,8602.410721514661
45,Pesto Sauce,1129.9290805649114
46,Pineapple,3089.309951194492
47,Plum Tomatoes,770.8196632905189
48,Prosciutto,290.68879041484416
49,Prosciutto di San Daniele,664.4315209482153
50,Provolone Cheese,835.8785830500316
51,Red Onions,17081.822512663315
52,Red Peppers,3565.485874540713
53,Ricotta Cheese,1590.8784482227356
54,Romano Cheese,835.8785830500316
55,Sliced Ham,0.0
56,Smoked Gouda Cheese,835.8785830500316
57,Soppressata Salami,2016.0355226390043
58,Spinach,5982.553279466319
59,Sun-dried Tomatoes,372.65511941277134
60,Thai Sweet Chilli Sauce,1121.6236865530586
61,Thyme,48.44813173580736
62,Tomatoes,11752.725769200975
63,Zucchini,961.4482306101853
